Index,Device,Time,Lon,Lat,Power Headroom
1,UE1,22-06-22 11:01:28.977,,,63
2,UE1,22-06-22 11:01:29.972,,,63
3,UE1,22-06-22 11:01:30.977,,,63
4,UE1,22-06-22 11:01:31.987,,,63
5,UE1,22-06-22 11:01:33.984,,,63
6,UE1,22-06-22 11:01:34.986,,,63
7,UE1,22-06-22 11:01:35.974,,,62
8,UE1,22-06-22 11:01:36.979,,,63
9,UE1,22-06-22 11:01:37.987,,,63
10,UE1,22-06-22 11:01:39.011,,,63
11,UE1,22-06-22 11:01:40.044,,,63
12,UE1,22-06-22 11:01:41.045,,,63
13,UE1,22-06-22 11:01:42.043,,,63
14,UE1,22-06-22 11:01:43.051,,,62
15,UE1,22-06-22 11:01:44.057,,,63
16,UE1,22-06-22 11:01:45.060,,,63
17,UE1,22-06-22 11:01:46.054,,,63
18,UE1,22-06-22 11:01:47.053,,,63
19,UE1,22-06-22 11:01:48.067,,,63
20,UE1,22-06-22 11:01:49.064,,,63
21,UE1,22-06-22 11:01:50.062,,,63
22,UE1,22-06-22 11:01:51.069,,,63
23,UE1,22-06-22 11:01:52.063,,,61
24,UE1,22-06-22 11:01:53.065,,,62
25,UE1,22-06-22 11:01:54.225,,,63
26,UE1,22-06-22 11:01:55.203,,,63
27,UE1,22-06-22 11:01:56.201,,,63
28,UE1,22-06-22 11:01:57.254,,,63
29,UE1,22-06-22 11:01:58.252,,,63
30,UE1,22-06-22 11:01:59.308,,,63
31,UE1,22-06-22 11:02:00.310,,,63
32,UE1,22-06-22 11:02:01.301,,,63
33,UE1,22-06-22 11:02:02.305,,,63
34,UE1,22-06-22 11:02:03.359,,,63
35,UE1,22-06-22 11:02:04.367,,,63
36,UE1,22-06-22 11:02:05.359,,,63
37,UE1,22-06-22 11:02:06.362,,,63
38,UE1,22-06-22 11:02:07.363,,,63
39,UE1,22-06-22 11:02:08.367,,,63
40,UE1,22-06-22 11:02:09.361,,,63
41,UE1,22-06-22 11:02:10.358,,,63
42,UE1,22-06-22 11:02:11.353,,,63
43,UE1,22-06-22 11:02:12.354,,,63
44,UE1,22-06-22 11:02:13.365,,,63
45,UE1,22-06-22 11:02:14.351,,,63
46,UE1,22-06-22 11:02:15.357,,,63
47,UE1,22-06-22 11:02:16.364,,,63
48,UE1,22-06-22 11:02:17.353,,,63
49,UE1,22-06-22 11:02:18.452,,,63
50,UE1,22-06-22 11:02:19.381,,,63
51,UE1,22-06-22 11:02:20.387,,,63
52,UE1,22-06-22 11:02:21.387,,,63
53,UE1,22-06-22 11:02:22.391,,,63
